C.no	ဗျည်း	အက္ခရာCode	အမျိုးအစား	မိတ်ဘက်ဗျည်း	နံပါတ်စဉ်-သုဒ္ဓ/ကာရိုက်-ဗျည်းCode-ဗျည်းတွဲCode-သရCode-အက္ခရာ	သုဒ္ခကာရိုက်=ဗျည်း+သရ=အသံtoken=NNLDcode
C79	ဘျ	128	ဗျည်းတွဲ	126	၆၇-မ-128-0-201-ဘျ	မဗျည်း=ဘျ+အ=ဘျ=128-003-201
C80	မျ	129	ဗျည်းတွဲ	128	၆၈-ဖို-129-0-201-မျ	ဖိုဗျည်း=မျ+အ=မျ=129-003-201
C81	မျှ	130	ဗျည်းတွဲ	128	၆၉-မ-130-0-201-မျှ	မဗျည်း=မျှ+အ=မျှ=130-013-201
C82	ကြ	101	ဗျည်းတွဲ	102	၇၀-ဖို-101-0-201-ကြ	ဖိုဗျည်း=ကြ+အ=ကြ=101-004-201
C83	ခြ	102	ဗျည်းတွဲ	101	၇၁-မ-102-0-201-ခြ	မဗျည်း=ခြ+အ=ခြ=102-004-201
C84	ဂြ	103	ဗျည်းတွဲ	104	၇၂-ဖို-103-0-201-ဂြ	ဖိုဗျည်း=ဂြ+အ=ဂြ=103-004-201
C85	ဃြ	104	ဗျည်းတွဲ	103	၇၃-မ-104-0-201-ဃြ	မဗျည်း=ဃြ+အ=ဃြ=104-004-201
C86	ငြ	105	ဗျည်းတွဲ	106	၇၄-ဖို-105-0-201-ငြ	ဖိုဗျည်း=ငြ+အ=ငြ=105-004-201
C87	ငြှ	106	ဗျည်းတွဲ	105	၇၅-မ-106-0-201-ငြှ	မဗျည်း=ငြှ+အ=ငြှ=106-014-201
C88	ပြ	125	ဗျည်းတွဲ	126	၇၆-ဖို-125-0-201-ပြ	ဖိုဗျည်း=ပြ+အ=ပြ=125-004-201
C89	ဖြ	126	ဗျည်းတွဲ	125	၇၇-မ-126-0-201-ဖြ	မဗျည်း=ဖြ+အ=ဖြ=126-004-201
C90	ဗြ	127	ဗျည်းတွဲ	128	၇၈-ဖို-127-0-201-ဗြ	ဖိုဗျည်း=ဗြ+အ=ဗြ=127-004-201
C91	ဘြ	128	ဗျည်းတွဲ	127	၇၉-မ-128-0-201-ဘြ	မဗျည်း=ဘြ+အ=ဘြ=128-004-201
C92	မြ	129	ဗျည်းတွဲ	130	၈၀-ဖို-129-0-201-မြ	ဖိုဗျည်း=မြ+အ=မြ=129-004-201
C93	မြှ	130	ဗျည်းတွဲ	129	၈၁-မ-130-0-201-မြှ	မဗျည်း=မြှ+အ=မြှ=130-014-201


Vno	No	ကိုလိုနီခေတ်သရ	ခေတ်သုံးသရ	NNlDcode
1	အ	အ	[201	000	201]
2	အာ	အာ	[201	000	202]
3	အား	အား	[201	000	203]
4	အိ	အိ	[201	000	204]
5	အီ့	[201	000	205]
6	အီ	အီ	[201	000	206]
7	အီး	အီး	[201	000	207]
8	အု	အု	[201	000	208]
9	အူ့	အူ့	[201	000	209]
10	အူ	အူ	[201	000	210]
11	အူး	အူး	[201	000	211]
12	အေ	အေ	[201	000	212]
13	အေ့	အေ့	[201	000	213]
14	အေး	အေး	[201	000	214]
15	အဲ	အယ်	[201	000	215]
16	အဲ့	အဲ့	[201	000	216]
17	အဲး	အဲ	[201	000	217]
18	အယ်	အယ်	[201	000	218]
19	အယ့်	အယ်	[201	000	219]
20	အယ်း	အဲ	[201	000	220]
21	အော်	အော်	[201	000	221]
22	အောဝ်	[201	000	222]
23	အော့	အော့	[201	000	223]
24	အော	အော	[201	000	224]
25	အက်	အက်	[201	000	225]
26	အိုက်	အိုက်	[201	000	226]
27	အောက်	အောက်	[201	000	227]
28	အင်	အင်	[201	000	228]
29	အင့်	အင့်	[201	000	229]
30	အင်း	အင်း	[201	000	230]
31	အိုင်	အိုင်	[201	000	231]
32	အိုင့်	အိုင့်	[201	000	232]
33	အိုင်း	အိုင်း	[201	000	233]
34	အောင်	အောင်	[201	000	234]
35	အောင့်	အောင့်	[201	000	235]
36	အောင်း	အောင်း	[201	000	236]
37	အစ်	အစ်	[201	000	237]
38	အည်	အည်	[201	000	238]
39	အည့်	အည့်	[201	000	239]
40	အည်း	အည်း	[201	000	240]
41	အတ်	အတ်	[201	000	241]
42	အိတ်	အိတ်	[201	000	242]
43	အုတ်	အုတ်	[201	000	243]
44	အန်	အန်	[201	000	244]
45	အန့်	အန့်	[201	000	245]
46	အန်း	အန်း	[201	000	246]
47	အိန်	အိန်	[201	000	247]
48	အိန့်	အိန့်	[201	000	248]
49	အိန်း	အိန်း	[201	000	249]
50	အုန်	အုန်	[201	000	250]
51	အုန့်	အုန့်	[201	000	251]
52	အုန်း	အုန်း	[201	000	252]
53	အပ်	အပ်	[201	000	253]
54	အိပ်	အိပ်	[201	000	254]
55	အုပ်	အုပ်	[201	000	255]
56	အံ	အံ	[201	000	256]
57	အံ့	အံ့	[201	000	257]
58	အံး	အမ်း	[201	000	258]
59	အမ်	အမ်	[201	000	259]
60	အမ့်	အမ့်	[201	000	260]
61	အမ်း	အမ်း	[201	000	261]
62	အိမ်	အိမ်	[201	000	262]
63	အိမ့်	အိမ့်	[201	000	263]
64	အိမ်း	အိမ်း	[201	000	264]
65	အုမ်	အုမ်	[201	000	265]
66	အုမ့်	အုမ့်	[201	000	266]
67	အုမ်း	အုမ်း	[201	000	267]
68	အုံမ်	အုံ	[201	000	268]
69	အုံမ့်	အုံ့	[201	000	269]
70	အုံမ်း	အုံး	[201	000	270]
71	အိုဝ်	အို	[201	000	271]
72	အိုဝ်ဝ့်	အို့	[201	000	272]
73	အိုဝ်း	အိုး	[201	000	273]

